Loading data...
Vocab size: 10002
Time usage: 0:00:02
<bound method Module.parameters of Model(
  (embedding): Embedding(10002, 300, padding_idx=10001)
  (postion_embedding): Positional_Encoding(
    (dropout): Dropout(p=0.5, inplace=False)
  )
  (encoder): Encoder(
    (attention): Multi_Head_Attention(
      (fc_Q): Linear(in_features=300, out_features=300, bias=True)
      (fc_K): Linear(in_features=300, out_features=300, bias=True)
      (fc_V): Linear(in_features=300, out_features=300, bias=True)
      (attention): Scaled_Dot_Product_Attention()
      (fc): Linear(in_features=300, out_features=300, bias=True)
      (dropout): Dropout(p=0.5, inplace=False)
      (layer_norm): LayerNorm((300,), eps=1e-05, elementwise_affine=True)
    )
    (feed_forward): Position_wise_Feed_Forward(
      (fc1): Linear(in_features=300, out_features=1024, bias=True)
      (fc2): Linear(in_features=1024, out_features=300, bias=True)
      (dropout): Dropout(p=0.5, inplace=False)
      (layer_norm): LayerNorm((300,), eps=1e-05, elementwise_affine=True)
    )
  )
  (encoders): ModuleList(
    (0): Encoder(
      (attention): Multi_Head_Attention(
        (fc_Q): Linear(in_features=300, out_features=300, bias=True)
        (fc_K): Linear(in_features=300, out_features=300, bias=True)
        (fc_V): Linear(in_features=300, out_features=300, bias=True)
        (attention): Scaled_Dot_Product_Attention()
        (fc): Linear(in_features=300, out_features=300, bias=True)
        (dropout): Dropout(p=0.5, inplace=False)
        (layer_norm): LayerNorm((300,), eps=1e-05, elementwise_affine=True)
      )
      (feed_forward): Position_wise_Feed_Forward(
        (fc1): Linear(in_features=300, out_features=1024, bias=True)
        (fc2): Linear(in_features=1024, out_features=300, bias=True)
        (dropout): Dropout(p=0.5, inplace=False)
        (layer_norm): LayerNorm((300,), eps=1e-05, elementwise_affine=True)
      )
    )
    (1): Encoder(
      (attention): Multi_Head_Attention(
        (fc_Q): Linear(in_features=300, out_features=300, bias=True)
        (fc_K): Linear(in_features=300, out_features=300, bias=True)
        (fc_V): Linear(in_features=300, out_features=300, bias=True)
        (attention): Scaled_Dot_Product_Attention()
        (fc): Linear(in_features=300, out_features=300, bias=True)
        (dropout): Dropout(p=0.5, inplace=False)
        (layer_norm): LayerNorm((300,), eps=1e-05, elementwise_affine=True)
      )
      (feed_forward): Position_wise_Feed_Forward(
        (fc1): Linear(in_features=300, out_features=1024, bias=True)
        (fc2): Linear(in_features=1024, out_features=300, bias=True)
        (dropout): Dropout(p=0.5, inplace=False)
        (layer_norm): LayerNorm((300,), eps=1e-05, elementwise_affine=True)
      )
    )
  )
  (fc1): Linear(in_features=9600, out_features=4, bias=True)
)>
Iter:      0,  Train Loss:   1.5,  Train Acc: 21.09%,  Val Loss:   3.0,  Val Acc: 25.00%,  Time: 0:00:01 *
Iter:    100,  Train Loss:   1.3,  Train Acc: 47.66%,  Val Loss:   1.3,  Val Acc: 45.98%,  Time: 0:00:02 *
Iter:    200,  Train Loss:   1.0,  Train Acc: 60.94%,  Val Loss:  0.93,  Val Acc: 63.32%,  Time: 0:00:04 *
Iter:    300,  Train Loss:  0.78,  Train Acc: 67.97%,  Val Loss:  0.79,  Val Acc: 71.00%,  Time: 0:00:06 *
Iter:    400,  Train Loss:  0.75,  Train Acc: 69.53%,  Val Loss:  0.65,  Val Acc: 76.33%,  Time: 0:00:08 *
Iter:    500,  Train Loss:  0.83,  Train Acc: 64.84%,  Val Loss:  0.59,  Val Acc: 78.13%,  Time: 0:00:10 *
Iter:    600,  Train Loss:  0.74,  Train Acc: 74.22%,  Val Loss:  0.57,  Val Acc: 79.00%,  Time: 0:00:12 *
Iter:    700,  Train Loss:  0.63,  Train Acc: 73.44%,  Val Loss:  0.52,  Val Acc: 81.02%,  Time: 0:00:14 *
Iter:    800,  Train Loss:  0.71,  Train Acc: 73.44%,  Val Loss:  0.54,  Val Acc: 80.85%,  Time: 0:00:16 
Iter:    900,  Train Loss:  0.51,  Train Acc: 79.69%,  Val Loss:  0.52,  Val Acc: 81.55%,  Time: 0:00:18 
Iter:   1000,  Train Loss:  0.64,  Train Acc: 78.12%,  Val Loss:  0.47,  Val Acc: 83.67%,  Time: 0:00:20 *
Iter:   1100,  Train Loss:   0.6,  Train Acc: 75.78%,  Val Loss:   0.5,  Val Acc: 82.28%,  Time: 0:00:22 
Iter:   1200,  Train Loss:   0.5,  Train Acc: 78.91%,  Val Loss:  0.49,  Val Acc: 83.20%,  Time: 0:00:24 
Iter:   1300,  Train Loss:  0.41,  Train Acc: 80.47%,  Val Loss:  0.54,  Val Acc: 82.78%,  Time: 0:00:26 
Iter:   1400,  Train Loss:  0.52,  Train Acc: 83.59%,  Val Loss:  0.53,  Val Acc: 82.28%,  Time: 0:00:28 
Iter:   1500,  Train Loss:  0.46,  Train Acc: 79.69%,  Val Loss:  0.45,  Val Acc: 85.10%,  Time: 0:00:29 *
Iter:   1600,  Train Loss:  0.56,  Train Acc: 82.81%,  Val Loss:  0.44,  Val Acc: 85.38%,  Time: 0:00:31 *
Iter:   1700,  Train Loss:  0.59,  Train Acc: 78.91%,  Val Loss:  0.44,  Val Acc: 85.42%,  Time: 0:00:33 *
Iter:   1800,  Train Loss:  0.58,  Train Acc: 77.34%,  Val Loss:  0.41,  Val Acc: 86.03%,  Time: 0:00:35 *
Iter:   1900,  Train Loss:  0.48,  Train Acc: 82.81%,  Val Loss:  0.44,  Val Acc: 85.80%,  Time: 0:00:37 
